No,STONEID,SHAPE,CARAT,COLOR,CLARITY,CUT,POLISH,SYMMETRY,FLOUR,CERTI_NAME,SHADE,EFAC,SINC,TINC,SOINC,TBINC,SBINC,EYECLEAN,LOCATION,HA,CULET,LUSTER,RAP,FINALGRATE,ISPHOTO,ISFANCY,ISNEWARRIVAL,PHOTOPATH,MOVIEPATH,CERTIPATH,CANGLE,CHEIGHT,PANGLE,PHEIGHT,CERTINO,DIAMETER,GIRDLE,GIRDLEDESC,HEIGHT,LENGTH,WIDTH,KEYTOSYMBOL,LOWERHALF,STARLENGTH,RATIO,TABLE,DEPTH,COMMENT,FANCYCOLOR,INTENSITY,OVERTONE,DISC,PERCARAT,AMOUNT
1,50011,R,1.29,G,FL,EX,EX,EX,MED,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,N,N,N,N,N,100%EYECLEAN,INDIA,100%,NON,EXCELLENT,11300,6567,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/274-156.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=274-156,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/7356486155.Pdf,35,14.5,41,43.5,7356486155,6.99,3.5,MED to STK,4.3,7.02,6.96,,75,50,1.01,59,61.6,,,,,41.88495575222,6567,8471.43
2,50040,R,1.45,F,VVS2,EX,EX,EX,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,N,CLD,N,BPP,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,11400,9881.52,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/300-7578.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=300-7578,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/6395869899.Pdf,36.5,16,40.8,43,6395869899,7.2,3.5,MED to STK,4.5,7.22,7.18,Cloud  Pinpoint,75,50,1.01,57,62.6,Additional pinpoints are not shown. Surface graining is not shown.,,,,13.32,9881.52,14328.204
3,55909,PEM,2.18,Fancy Dark Greenish Gray  Natural Even,I1,,G,G,NON,GIA,HEAVY MILKY,NONE,FTR,CLD,N,N,BPP,NO EYECLEAN,INDIA,NO,NON,VERY GOOD,1700,1674.5,false,true,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/311-14.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=311-14,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/2366932666.Pdf,0,0,0,0,2366932666,9.1,9,VTK to ETK,4.03,11.07,7.13,Crystal  Feather  Needle  Extra Facet,50,50,1.55,61,56.4,Clarity grade is based on clouds that are not shown. Pinpoints are not shown. Internal graining is not shown.,Gray, Fancy Dark,Greenish,1.5,1674.5,3650.41
4,57489,RA,6.11,J,VVS1,,EX,EX,VSL,IGI,NO BROWN   NO GREEN   NO MILKY,NONE,N,WPP,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,20500,7774.11,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/341-13.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=341-13,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/480154184.Pdf,39.5,14.5,31.2,52.5,480154184,10.36,4.5,Slightly Thick,6.27,11.98,8.74,,50,50,1.37,67.5,71.7,N/A,,,,62.07751219513,7774.11,47499.8121
5,53018,R,2.52,J,VVS1,EX,EX,EX,MED,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,N,N,100%EYECLEAN,INDIA,80%,NON,EXCELLENT,11500,8212.44,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/343-5.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=343-5,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/7372185963.Pdf,33,12.5,41.8,44.5,7372185963,8.765,4,STK,5.36,8.78,8.75,Pinpoint,75,50,1,61,61.1,,,,,28.58747826087,8212.44,20695.3488
6,63202,CM,0.5,Fancy Light Pinkish Purple,VS2,,VG,G,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,WGPP,N,N,BPP,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,28000,27580,false,true,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/63202.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=63202,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/3385112814.Pdf,0,0,0,0,3385112814,4.38,11,VTK to ETK,2.85,4.82,3.94,Crystal  Cloud  Feather  Needle  Indented Natural  Natural,50,50,1.22,53,72.3,Pinpoints  internal graining and reflecting surface graining are not shown., Purple , Fancy Light,Pinkish,1.5,27580,13790
7,57486,R,1.52,M,VS1,EX,EX,EX,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,N,N,100%EYECLEAN,INDIA,80%,NON,EXCELLENT,4200,3061.38,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/355-23.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=355-23,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/6371702797.Pdf,33,13,40.8,43,6371702797,7.515,3,MED,4.44,7.53,7.5,Feather  Indented Natural,75,45,1,60,59,,,,,27.11,3061.38,4653.2976
8,60508,CM,1.35,Fancy Light Yellow  Natural Even,VVS2,,EX,G,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,1900,1871.5,false,true,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/60508.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=60508,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/1373859620.Pdf,0,0,0,0,1373859620,6.15,8,ETK,4.05,6.17,6.13,Pinpoint,50,50,1.01,57,66,,Yellow , Fancy Light,,1.5,1871.5,2526.525
9,58980,RA,1.81,X,VVS2,VG,EX,VG,FNT,NGS,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,3100,1587.82,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/357-57.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=357-57,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/NGS.jpg,0,0,0,0,,6.97,7.5,,4.21,6.97,6.52,,50,50,1.07,57.5,64.58,,,,,48.78,1587.82,2873.9542
10,62724,CM,1.5,Fancy Yellow  Natural Even,SI1,,EX,VG,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,BXTL,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,2400,2364,false,true,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/62724.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=62724,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/6382277452.Pdf,0,0,0,0,6382277452,6.42,8.5,VTK to ETK,4.1,6.51,6.33,Crystal  Pinpoint,50,50,1.03,59,64.8,Additional pinpoints are not shown.,Yellow , Fancy,,1.5,2364,3546
